Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Roght tol3,Right tol4,Right tol5,Right DEM
9.2,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
9.4,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
9.6,0,131.68,0,5,0,0.05,750,20,A,5,2,0.05,750,20,A
9.8,0,131.68,0,5,0,0.05,750,20,A,5,2,0.05,750,20,A
10,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
10.2,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
10.4,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
10.6,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
10.8,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
11,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
11.2,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
11.4,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
11.6,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
11.8,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
12,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
12.2,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
12.4,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
12.6,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
12.8,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
13,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
13.2,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
13.4,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
13.6,0,131.68,0,6.3,0,0.077,750,20,A,5,2,0.05,750,20,A
13.8,0,131.68,0,2.15233605,0,0.107179441,750,20,A,5,2,0.05,750,20,A
14,0,131.68,0,3.2805,0,0.073205,750,20,A,5,2,0.05,750,20,A
14.2,0,131.68,0,3.2805,0,0.073205,750,20,A,5,2,0.05,750,20,A
14.4,0,131.68,0,5,0,0.05,750,20,A,5,2,0.05,750,20,A
14.6,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
14.8,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
15,0,131.68,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
15.2,0,131.68,-20,5,2,0.05,750,20,A,5,2,0.05,750,20,A
15.4,0,84.19,20,5,2,0.05,750,20,A,5,2,0.05,750,20,A
15.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
15.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
16,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
16.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
16.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
16.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
16.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
17,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
17.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
17.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
17.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
17.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
18,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
18.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
